term,meaning,usage_context,formality,region
machaa,friend/buddy,casual address between friends,informal,Karnataka
maga,son/buddy,casual male address,informal,Karnataka
yaar,friend/dude,casual address,informal,Pan-India
re,hey/addressing particle,casual emphasis,informal,Karnataka
dude,friend,casual English borrowed term,informal,Urban Karnataka
swalpa,a little/somewhat,modifier for degree,informal,Karnataka
tumba,very/a lot,intensity modifier,informal,Karnataka
sakkat,very/awesome,intensity/appreciation,informal,Karnataka
guru,teacher/master/buddy,respectful or friendly address,mixed,Karnataka
boss,friend/leader,casual address,informal,Urban Karnataka
bro,brother/friend,casual English borrowed,informal,Urban Karnataka
anna,elder brother,respectful address,formal,Karnataka
akka,elder sister,respectful address,formal,Karnataka
appa,father,family reference,formal,Karnataka
amma,mother,family reference,formal,Karnataka
andre,then/so,conjunction/transition,informal,Karnataka
ashte,that's it/only,limitation particle,informal,Karnataka
gottu,know/understood,acknowledgment,informal,Karnataka
gottilla,don't know,negative acknowledgment,informal,Karnataka
beku,want/need,request/desire,informal,Karnataka
beda,don't want,refusal,informal,Karnataka
hogi,go,direction/dismissal,informal,Karnataka
baa,come,invitation/request,informal,Karnataka
illa,no/not there,negation,informal,Karnataka
ide,is/there is,existence,informal,Karnataka
aaytu,done/happened,completion,informal,Karnataka
kelsa,work/job,activity reference,informal,Karnataka
oota,food/meal,daily reference,informal,Karnataka
haaki,put/post,action verb,informal,Karnataka
tagond,take/get,action verb,informal,Karnataka
maadu,do/make,action verb,informal,Karnataka
helu,tell/say,communication verb,informal,Karnataka
nodu,see/look,perception verb,informal,Karnataka
barthini,will come,future tense,informal,Karnataka
hogthini,will go,future tense,informal,Karnataka
madthini,will do,future tense,informal,Karnataka
bartira,will you come,question form,informal,Karnataka
madtiya,are you doing,question form,informal,Karnataka
full,very/completely,English borrowed intensifier,informal,Urban Karnataka
fest,festival/event,shortened English,informal,Student slang
lab,laboratory,shortened English,informal,Academic slang
ppt,PowerPoint presentation,abbreviation,informal,Academic slang
lec,lecture,shortened English,informal,Academic slang
hodbitta,went away,past tense with emphasis,informal,Karnataka
odi,run,urgency,informal,Karnataka
sari,okay/right,agreement,informal,Karnataka
sumne,simply/without reason,manner adverb,informal,Karnataka
elli,where,location question,informal,Karnataka
hogidaroo,wherever you go,conditional location,informal,Karnataka
ade tara,same way,comparison phrase,informal,Karnataka
anta,that/saying,quotative particle,informal,Karnataka
feel agutte,feels like,emotional expression,informal,Karnataka
agthiya,becoming,progressive verb,informal,Karnataka
irritating,annoying (English borrowed),negative descriptor,informal,Urban Karnataka
idiya,you are,present tense copula,informal,Karnataka
yavattu,never/always,temporal adverb,informal,Karnataka
serious,serious (English borrowed),intensity marker,informal,Urban Karnataka
yen,what,question word,informal,Karnataka
use,use/purpose (English borrowed),utility reference,informal,Urban Karnataka
jothe,with,accompaniment,informal,Karnataka
class,class (English borrowed),academic context,informal,Academic slang
nalli,in/inside,locative postposition,informal,Karnataka
group,group (English borrowed),social reference,informal,Urban Karnataka
inda,from,ablative postposition,informal,Karnataka
remove,remove (English borrowed),exclusion action,informal,Urban Karnataka
illaadre,if not there,conditional negative,informal,Karnataka
better,better (English borrowed),comparison,informal,Urban Karnataka
ansta,seems/feels,perception verb,informal,Karnataka
reply,reply (English borrowed),response action,informal,Urban Karnataka
nodoke,to see,infinitive form,informal,Karnataka
time,time (English borrowed),temporal reference,informal,Urban Karnataka
togondiya,taking (progressive),action verb,informal,Karnataka
status,status (English borrowed),social media term,informal,Urban Karnataka
yavaglu,always,frequency adverb,informal,Karnataka
check,check (English borrowed),verification action,informal,Urban Karnataka
idu,this,demonstrative pronoun,informal,Karnataka
stalking,stalking (English borrowed),harassment term,informal,Urban Karnataka
tara,like/similar to,comparison particle,informal,Karnataka
kanstide,seems/appears,perception verb,informal,Karnataka
prati dina,every day,frequency phrase,informal,Karnataka
reason,reason (English borrowed),justification,informal,Urban Karnataka
illade,without,negative postposition,informal,Karnataka
ping,ping (English borrowed),digital contact,informal,Tech slang
ivananna,him/this person,third person reference,informal,Karnataka
add,add (English borrowed),inclusion action,informal,Urban Karnataka
chat,chat (English borrowed),conversation,informal,Tech slang
irboda,should be,necessity modal,informal,Karnataka
gang,gang/group (English borrowed),friend group,informal,Urban Karnataka
team,team (English borrowed),group reference,informal,Urban Karnataka
plan,plan (English borrowed),arrangement,informal,Urban Karnataka
invite,invite (English borrowed),invitation,informal,Urban Karnataka
besseru,don't want,emphatic refusal,informal,Karnataka
everywhere,everywhere (English borrowed),location adverb,informal,Urban Karnataka
message,message (English borrowed),digital communication,informal,Tech slang
platform,platform (English borrowed),social media reference,informal,Tech slang
follow,follow (English borrowed),social media action,informal,Tech slang
please,please (English borrowed),polite request,informal,Urban Karnataka
type,type (English borrowed),category reference,informal,Urban Karnataka
jokes,jokes (English borrowed),humor reference,informal,Urban Karnataka
stop,stop (English borrowed),cessation command,informal,Urban Karnataka
photos,photos (English borrowed),image reference,informal,Urban Karnataka
body,body (English borrowed),physical reference,informal,Urban Karnataka
bagge,about/regarding,topic marker,informal,Karnataka
mata,word/speech,communication,informal,Karnataka
comments,comments (English borrowed),remarks,informal,Urban Karnataka
cheap,cheap/low quality (English borrowed),negative descriptor,informal,Urban Karnataka
ava,her/that person,third person pronoun,informal,Karnataka
network,network (English borrowed),internet connection,informal,Tech slang
slow,slow (English borrowed),speed descriptor,informal,Urban Karnataka
once,once (English borrowed),frequency,informal,Urban Karnataka
repeat,repeat (English borrowed),repetition action,informal,Urban Karnataka
gante,hour/o'clock,time reference,informal,Karnataka
late,late (English borrowed),tardiness,informal,Urban Karnataka
agbeda,don't become,negative imperative,informal,Karnataka
bekka,or (question),choice particle,informal,Karnataka
biryani,biryani (food),food reference,informal,Karnataka
decide,decide (English borrowed),decision action,informal,Urban Karnataka
practice,practice (English borrowed),rehearsal,informal,Urban Karnataka
movie,movie (English borrowed),entertainment,informal,Urban Karnataka
nodona,let's see/watch,suggestive verb,informal,Karnataka
presentation,presentation (English borrowed),academic term,informal,Academic slang
super,super/great (English borrowed),positive intensifier,informal,Urban Karnataka
chennag,nicely/well,quality adverb,informal,Karnataka
project,project (English borrowed),academic work,informal,Academic slang
help,help (English borrowed),assistance,informal,Urban Karnataka
madidakke,for doing,purpose clause,informal,Karnataka
thanks,thanks (English borrowed),gratitude,informal,Urban Karnataka
submit,submit (English borrowed),submission action,informal,Academic slang
maadbeku,must do,obligation modal,informal,Karnataka
attendance,attendance (English borrowed),presence tracking,informal,Academic slang
link,link (English borrowed),URL reference,informal,Tech slang
haakbidu,put/post it,imperative verb,informal,Karnataka
illi,here,location adverb,informal,Karnataka
complete,complete (English borrowed),total/full,informal,Urban Karnataka
waste,waste (English borrowed),useless,informal,Urban Karnataka
fellow,fellow (English borrowed),person reference,informal,Urban Karnataka
disgusting,disgusting (English borrowed),negative descriptor,informal,Urban Karnataka
behaviour,behaviour (English borrowed),conduct,informal,Urban Karnataka
lazy,lazy (English borrowed),negative trait,informal,Urban Karnataka
mode,mode (English borrowed),state/condition,informal,Urban Karnataka
alli,in/at,locative postposition,informal,Karnataka
total,total (English borrowed),complete/full,informal,Urban Karnataka
loser,loser (English borrowed),failure insult,informal,Urban Karnataka
useless,useless (English borrowed),worthless,informal,Urban Karnataka
behave,behave (English borrowed),conduct verb,informal,Urban Karnataka
